,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,brand,style,supplier,ref,qty,price/unit,unit,fabric,trims,outer,inner
30,cfc-36 dablh (e)         ,"#3 coil, closed end, dablh slider ",,,,hand pocket zippers,lunar blue,lake blue,caviar black,nightfall blue,moroccan red,,,,scott usa,m defined merino jkt,ykk,,2,,0,0,1,1,0
31,zp-561/5    ,pop in puller- #5       ,,,,cf zipper,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,scott usa,m defined merino jkt,utx,,1,0.05,0.05,0,1,1,0
32,zp-562/3    ,pop in puller- #3        ,,,,"hand pkt zippers, chest pocket zipper",lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,scott usa,m defined merino jkt,utx,,3,0.049,0.147,0,1,1,0
33,pca224,cordlock,,,,hem adjustment,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,scott usa,m defined merino jkt,utx,,2,0.06,0.116,0,1,1,0
34,10mm grosgrain ribbon,webbing,,,,anchor for pca224 cordlock at bottom hem,dark grey,dark grey,dark grey,dark grey,dark grey,,,,scott usa,m defined merino jkt,woosung,,,0.05,yard,0,1,1,0
35,p481s001,rubber puller ,,,,hem adjustment      ,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,scott usa,m defined merino jkt,utx,,2,0.02,0.04,0,1,1,0
36,1034213,custom braid 2.2mm,,,,bottom hem,marine blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,scott usa,m defined merino jkt,chun wo ho,,,0.109,yard,0,1,1,0
37,5mm eyelet,5mm logo eyelet,,,, hem adjustment exit (4),antique silver,antique silver,antique silver,antique silver,antique silver,,,,scott usa,m defined merino jkt,il jin  ,,4,0.03,0.12,0,1,1,0
38,"3/4"" foldable lycra",binding,,,,"hood binding, cf zipper tape finish, neck seam          ",marine blue,lake blue,caviar black,nightfall blue,royal red,,,,scott usa,m defined merino jkt,woosung,,,0.244,yard,0,1,1,0
39,hdp-003,high density print (matte quality),,,,upper left chest,marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,,,,scott usa,m defined merino jkt,factory,,1,,0,0,1,1,0
40,sb-hdp-804,high density print (matte quality),,,,right bicep,marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,,,,scott usa,m defined merino jkt,factory,,1,,0,0,1,1,0
41,m-size-20,m's main interior label           ,,,,cb neckseam      ,x,x,x,x,x,,,,scott usa,m defined merino jkt,daeyong,,1,0.045,0.045,0,1,1,0
42,8mm grosgrain ribbon    ,grosgrain ribbon           ,,,,locker loop      ,dark grey,dark grey,dark grey,dark grey,dark grey,,,,scott usa,m defined merino jkt,woosung  ,,1,0,0,0,1,1,0
43,ccl-164,care content labels,,,,left side seam,x,x,x,x,x,,,,scott usa,m defined merino jkt,daeyong,,1,0.035,0.035,0,1,1,0
44,po label,po label- for bulk only!,,,,left side seam,white,white,white,white,white,,,,scott usa,m defined merino jkt,daeyong ,,1,0.005,0.005,0,1,1,0
45,m-ht-lay,m's layering hangtag         ,,,,left side       ,x,x,x,x,x,,,,scott usa,m defined merino jkt,daeyong,,1,0.22,0.22,0,1,1,0
46,hangtag chain,chain for hangtag,,,,left side       ,x,x,x,x,x,,,,scott usa,m defined merino jkt,daeyong,,1,0.06,0.06,0,1,1,0
47,fit-ht-gen,general fit insert,,,,insert,x,x,x,x,x,,,,scott usa,m defined merino jkt,daeyong,,1,0.11,0.11,0,1,1,0
48,fit-ht-athl,athletic fit hangtag,,,,top of hang tag,x,x,x,x,x,,,,scott usa,m defined merino jkt,daeyong,,1,0.055,0.055,0,1,1,0
49,duro-ht-uv-2,duroshade hangtag,,,,insert,x,x,x,x,x,,,,scott usa,m defined merino jkt,daeyong,,1,0.1,0.1,0,1,1,0
50,mapp    ,mapp hangtag        ,,,,left side,x,x,x,x,x,,,,scott usa,m defined merino jkt,mapp,,1,0,0,0,1,1,0
51,sck-757s,"shell fabric at front body, back body, front collar, back collar
facing fabric at rolled hem, rolled collar front and back",,,,,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,singtex,,,4.8,yard,1,0,1,0
52,sck-757s,"shell fabric at sleeves and collar sides, cuffs
facing fabric at rolled cuffs, rolled collar sides",,,,,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,singtex,,,4.8,yard,1,0,1,0
53,cfc-39 dsbsos02a (h3),"#3, closed end, dsbsos02a slider ",,,,cf zipper,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,ykk,,1,,0,0,1,1,0
54,"3/4"" foldable lycra",binding,,,,"cf zipper tape finish, windflap edge",moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,woosung,,,0.244,yard,0,1,1,0
55,normal flatlock,normal flatlock,,,,armhole seams,royal red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,coats,,,,0,0,1,1,0
56,normal flatlock,normal flatlock,,,,side seams,moroccan red,marine blue,caviar black,royal red,lunar blue,nightfall blue,,,scott usa,m defined mid pullover,coats,,,,0,0,1,1,0
57,dp-634,direct print (matte quality),,,,upper left chest,18-1449 ketchup,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue,,,scott usa,m defined mid pullover,taekwang,,1,,0,0,1,1,0
58,sb-dp-804,direct print (matte quality),,,,right bicep,moroccan red,lunar blue,iron grey,moroccan red,19-4024 dress blues,19-4010 eclipse blue,,,scott usa,m defined mid pullover,taekwang,,1,,0,0,1,1,0
59,m-size-20,m's main interior label           ,,,,cb neckseam      ,x,x,x,x,x,x,,,scott usa,m defined mid pullover,daeyong,,1,0.045,0.045,0,1,1,0
60,8mm grosgrain ribbon    ,grosgrain ribbon           ,,,,locker loop      ,dark grey,dark grey,dark grey,dark grey,dark grey,dark grey,,,scott usa,m defined mid pullover,woosung  ,,1,0,0,0,1,1,0
61,ccl-149,care content labels,,,,left side seam,x,x,x,x,x,x,,,scott usa,m defined mid pullover,daeyong,,1,0.035,0.035,0,1,1,0
62,po label,po label- for bulk only!,,,,left side seam,white,white,white,white,white,white,,,scott usa,m defined mid pullover,daeyong ,,1,0.005,0.005,0,1,1,0
63,m-ht-lay,m's layering hangtag         ,,,,left side       ,x,x,x,x,x,x,,,scott usa,m defined mid pullover,daeyong,,1,0.22,0.22,0,1,1,0
64,hangtag chain,chain for hangtag,,,,left side       ,x,x,x,x,x,x,,,scott usa,m defined mid pullover,daeyong,,1,0.06,0.06,0,1,1,0
65,fit-ht-gen,general fit insert,,,,insert,x,x,x,x,x,x,,,scott usa,m defined mid pullover,daeyong,,1,0.11,0.11,0,1,1,0
66,fit-ht-athl,athletic fit hangtag,,,,top of hang tag,x,x,x,x,x,x,,,scott usa,m defined mid pullover,daeyong,,1,0.055,0.055,0,1,1,0
67,duro-ht-4s-2,duroxpand hangtag,,,,insert,x,x,x,x,x,x,,,scott usa,m defined mid pullover,daeyong,,1,0.1,0.1,0,1,1,0
68,duro-ht-uv-2,duroshade hangtag,,,,insert,x,x,x,x,x,x,,,scott usa,m defined mid pullover,daeyong,,1,0.1,0.1,0,1,1,0
69,fe529-a,"shell fabric at hood, sleeves, sleeve pocket, collar
facing fabric at rolled cuffs, back of collar, windflap",,,,,lunar blue,lunar blue,moroccan red,lake blue,caviar black,,,,scott usa,m defined plus jkt,premiere,,,,yard,1,0,1,0
70,fe529-a,"shell fabric at front body, back body
facing fabric at rolled hem",,,,,marine blue,lunar blue,moroccan red,lake blue,caviar black,,,,scott usa,m defined plus jkt,premiere,,,,yard,1,0,1,0
71,sck-757s,shell fabric at face mask,,,,,marine blue,lunar blue,royal red,nightfall blue,caviar black,,,,scott usa,m defined plus jkt,singtex,,,4.8,yard,1,0,1,0
72,"tba-use available #5 coil open end, 1 slider for proto",,,,,cf zipper,use available,use available,use available,use available,use available,,,,scott usa,m defined plus jkt,ykk,,1,,0,0,1,1,0
