,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
1, #5 metal zipper  (special herringbone tape),ykk / 1-way semi auto locking with 1 l1 custom pull,center front,1,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4010 tcx ink,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4006 tcx black
2, #5 metal zipper  (special herringbone tape),non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4010 tcx ink,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4006 tcx black
3, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black
4, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets horizontal,1 per side = 2,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black
5, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,side entry,1,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black,silder/pull color: match to ykk rl bright copper/ zipper tape color: black
6,additional zipper pulls,supplier/ reference number,location,amount,silt,ink,military,black
7,"""l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm ",ykk,center front,1,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper
8,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,chest pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
9,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims faux leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,hand pockets vertical,1 per side = 2,brown leather,brown leather,brown leather,brown leather
10,11nt-045 / self fabric pull,factory made,hand pockets horizontal,1,silt shell fabric,ink shell fabric,military shell fabric,black shell fabric
11,11nt-045 / self fabric pull,factory made,side entry,1,silt shell fabric,ink shell fabric,military shell fabric,black shell fabric
12,branded trims,supplier/ reference number,location,amount,silt,ink,military,black
13,"l1-2018-trim-006/ 
large brown faux leather hem wrap
artwork debossed 1mm 3.8 cm x 2 cm",please source,horizontal hand pocket flap right side,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
14,"l1-2018-trim-028/ 
l1 wmns - freedom patch
brown faux leather
",please source,left sleeve shoulder,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
15,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,left sleeve hem,1,matching,matching,matching,matching
16,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,matching,matching,matching,matching
17,trims,supplier/ reference number,location,amount,silt,ink,military,black
18,15mm metal snap ,luk's / 404,powder skirt - front closure,"2 female, 4 male",cp016 copper,cp016 copper,cp016 copper,cp016 copper
19,15mm metal snap ,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,cp016 copper,cp016 copper,cp016 copper,cp016 copper
20,15mm metal snap ,luk's / 404,powder skirt - jacket to pant connection,3 sets,cp016 copper,cp016 copper,cp016 copper,cp016 copper
21,metal eyelets 8mm ,luk's / et04,hood cord exit front,2 per side = 4 ,cp016 copper,cp016 copper,cp016 copper,cp016 copper
22,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,16-5807 tcx silt,19-4010 tcx ink,19-0515 tcx military,19-4006 tcx black
23,bead,sv160725-1a,front hood adjust,1 per side = 2,16-5807 tcx silt,19-4010 tcx ink,19-0515 tcx military,19-4006 tcx black
24,keyclip,as production ,right hand pocket,1 per side = 2,black,black,black,black
25,notions,supplier/ reference number,location,amount,silt,ink,military,black
26,"grosgrain 1/4""",none,attach front hood cord lock,1 per side = 2,black,black,black,black
27,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,black,black,black,black
28,grosgrain,none,powder skirt - side tabs jacket to pant connection ,1,black,black,black,black
29,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",none,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black
30,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back on tab,1,silt shell fabric,ink shell fabric,military shell fabric,black shell fabric
31,"shell fabric tab  1"" x 1"" wrap around ",none,jacket to pant connection center back under snap on gripper elastic,1,silt shell fabric,ink shell fabric,military shell fabric,black shell fabric
32,"shell fabric tab 3/4"" x  1"" ",none,jacket to pant connection at side tabs under snaps,1 per side = 2,silt shell fabric,ink shell fabric,military shell fabric,black shell fabric
33,"elastic 1"" x 4""",none,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black
34,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw17-062
chun wo ho (please source)",hood,1,"colorway: 3 = 12-0105 tcx bone/
16-5807 tcx silt","colorway: 6
19-4010 tcx ink /
18-0403 tcx gunmetal","colorway: 4
19-0515 tcx military/
17-0620 tcx dusty green","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal"
35,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,black,black,black
36,velcro,supplier/ reference number,location,amount,silt,ink,military,black
37,"3/4"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell
38,"3/4"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell
39,thread,spi,supplier/ ref number,amount,silt,ink,military,black
40,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
41,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell
42,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell
43,labels ,supplier/ reference number,location,amount,silt,ink,military,black
44,10k/10k critically seam sealed,soluna/ main label,center back below neck seam,1,10k/10k critically seam sealed,none,none,none
45,size label (sample size s),soluna/ size label,center back below main label,1,"xs, s, m, l",none,none,none
46,hang tags,supplier/ reference number,location,amount,silt,ink,military,black
47,womens jacket hang tag,soluna/ womens jacket hang tag,left side hand pocket zipper,1,womens jacket hang tag,none,none,none
48,care and content labels,supplier/ reference number,location,amount,silt,ink,military,black
49,address label,factory sourced,lining left side seam,1,address label,none,none,none
50,content label,factory sourced,lining left side seam,1,content label,none,none,none
51,washing label,factory sourced,lining left side seam,1,washing label,none,none,none
