,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9,colorway/10
1, #5 coil zipper,ykk / 5c dalh 1-way semi auto locking,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
2, #3 coil zipper,non ykk / 1-way dadr fashion drop non locking,leg pocket vertical ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
3, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hem gusset ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
4,additional zipper pulls,supplier/ reference number,location,amount,silt,military,ink,port,bone,black,walnut
5,branded trims,supplier/ reference number,location,amount,silt,military,ink,port,bone,black,walnut
6,"l1-2018-trim-021
l1 donut post shank
black alloy
al023",luks,front waist band closure,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
7,"l1-2018-trim-020
l1 10mm square rivet
black alloy
al02",luks,"front left hand pocket, bottom edge of opening",1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) 
8,"l1-2018-trim-027
l1 faux leather patch
brown ",please source,back left knee,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather
9,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,match to shell,match to shell,match to shell,match to shell,match to shell,match to shell
10,trims,supplier/ reference number,location,amount,silt,military,ink,port,bone,black,walnut
11,keyclip,as last year production,right hand pocket,1 per side = 2,black,black,black,black,black,black,black
12,clear plastic drawcord tips,none,drawcord ends,1 per side = 2,clear,clear,clear,clear,clear,clear,clear
13,notions,supplier/ reference number,location,amount,silt,military,ink,port,bone,black,walnut
14,"grosgrain 1/4""",none,right hand pocket attach keyclip,1,black,black,black,black,black,black,black
15,"waxed shoe lace 3/8""",as last year production,waist band,1,black waxed,black waxed,black waxed,black waxed,black waxed,black waxed,black waxed
16,velcro,supplier/ reference number,location,amount,silt,military,ink,port,bone,black,walnut
17,thread,spi,supplier/ ref number,amount,silt,military,ink,port,bone,black,walnut
18,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),none,regular thread,match to shell,match to shell,match to shell,match to shell,match to shell,match to shell,match to shell
19,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell,match to shell,match to shell,match to shell
20,topstitch,8-10 spi,heavy weight topstitch,none,match to shell,match to shell,match to shell,match to shell,match to shell,match to shell,match to shell
21,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,match to shell,match to shell,match to shell
22,labels ,supplier/ reference number,location,amount,silt,military,ink,port,bone,black,walnut
23,10k/10k critically seam sealed,soluna/ main label,front left leg,1,10k/10k critically seam sealed,none,none,none,none,none,none
24,size label (sample size s),soluna/ size label,center back waist band,1,"xs, s, m, l",none,none,none,none,none,none
25,hang tags,supplier/ reference number,location,amount,silt,military,ink,port,bone,black,walnut
26,womens pant hang tag,soluna/ womens pant hang tag,left side belt loop,1,womens pant hang tag,none,none,none,none,none,none
27,pant fit hang tag,skinny fit,none,1,skinny fit,none,none,none,none,none,none
28,care and content labels,supplier/ reference number,location,amount,silt,military,ink,port,bone,black,walnut
29,address label,factory sourced,lining left side seam,1,none,none,none,none,none,none,none
30,content label,factory sourced,lining left side seam,1,none,none,none,none,none,none,none
31,washing label,factory sourced,lining left side seam,1,none,none,none,none,none,none,none
