,description,item,ref,amount,colorway/4,colorway/5,colorway/6
1,center front,#5 metal,ykk za snap on // 1-way seperating auto lock ,1,psudo anti silver slider and teeth / black tape,none,none
2,inside pocket,#5 coil,dadhr diecast wire (non ykk) auto lock ,1,psudo anti silver slider and teeth / black tape,none,none
3,zipper pulls,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
4,center front,l1 snap on metal zipper pull,luks / l1-2016-trim-009 ,1,psudo anti silver ,none,none
5,l1 branded trims,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
6,front left sleeve,l1 small embroidery,soluna / l1-2016-026,1,dtm,none,none
7,back right ,l1 large embroidery,soluna / l1-2016-027,1,dtm,none,none
8,hand and chest pockets,l1 snap,luks / l1-2016-trim-001,3,psudo anti silver ,none,none
9,chest pocket bag,new patch,luks / new,1,black ,none,none
10,snaps,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
11,cf powder skirt closure,14 mm plastic snap,duraflex / 1414,"4 male, 2 female",black,none,none
12,pow skirt: jacket to pant connection on powderskirt hem,14 mm plastic snap,duraflex / 1414,3 sets,black,none,none
13,"""snap away powder skirt"" snap powder skirt to front facing when not in use",14 mm plastic snap,duraflex / 1414,"1 male, 1 female",black,none,none
14,cord locks,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
15,hem cord locks,cord lock,knk / sp-177,1 per side = 2,matte black,none,none
16,hem cord tips,cord tip,knk / cs-074,1 per side = 2,matte black,none,none
17,grommets,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
18,hood cord exit,grommet 11.5 mm (large),please sorce,1 per side = 2,psudo anti silver ,none,none
19,hem adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,psudo anti silver ,none,none
20,shockcord,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
21,hem,3mm stretch shockcord,suppler / ref nuber,none,none,none,none
22,drawcord,item,supplier/ ref number,amount,0,0,0
23,hood,"3/8"" black waxed shoe lace with clear plastic tips",suppler / ref nuber,none,black waxed,none,none
24,webbing ,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
25,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",suppler / ref nuber,1,black,none,none
26,hem cord lock tie down,"1/4"" flat webbing loop",suppler / ref nuber,1 per side = 2,black,none,none
27,right hand pocket,plastic keyclip ,suppler / ref nuber,1,black,none,none
28,jacket to pant connection center back ,"3/4"" x 1"" finished ",suppler / ref nuber,tab behind each snap = 2,black,none,none
29,jacket to pant connection at side tabs,"3/4"" x 3 1/4"" flat webbing",suppler / ref nuber,1,black,none,none
30,elastic,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
31,powder skirt gripper elastic,25mm,suppler / ref nuber,1,stock,none,none
32,jacket to pant connection center back tab,"flat elastic tape 3/4"" x 4 1/4""",suppler / ref nuber,1,black,none,none
33,encased in back of sleeve hem,25mm,suppler / ref nuber,1 per side = 2,stock,none,none
34,goggle pocket,elastine binding,suppler / ref nuber,1,black,none,none
35,lining media pocket cable guide,"1/4"" flat elastic",suppler / ref nuber,1,black,none,none
36,velcro,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3
37,cuff ,2.5cm x 9cm,paiho / loop#1057,1 loop tab,matching,none,none
38,cuff tab,2.5cm x 6.5cm,paiho / hooketn7,1 hook tab,matching,none,none
39,thread,spi,ref number,amount,colorway 1 ,colorway 2,colorway 3
40,seams,none,#604,none,matching,none,none
41,topstitch,none,#606,none,matching,none,none
42,bartacks,none,none,none,matching,none,none
43,sleeve gaiter cover stitch,none,none,none,matching,none,none
44,marketing,description,ref number,amount,colorway 1 ,colorway 2,colorway 3
45,left hand pocket zipper head,l1 hang tag,none,1,l1 hang tag,none,none
46,lining cb facing,wp breath / size label / rn ca / made in ___,none,1,none,none,none
47,lining left side seam,address label,sew as loop,1,address label,none,none
48,lining left side seam,content label,sew as loop,1,content label,none,none
49,lining left side seam,washing label,sew as loop,1,washing label,none,none
50,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none
