,description,item,ref,content,colorway/4,colorway/5,colorway/6
1,body,microtwill sott023-2l2-i $3.75 ,none,none,black,military,none
2,cuff ribbing,1 x 1 polyester  ribbing ,none,none,black,black,black on both colorways
3,insulation,item,supplier/ ref number,content,black,military,0
4,"60g ""cs"" polyfill all over",none,none,none,"60g ""cs"" polyfill all over","60g ""cs"" polyfill all over",none
5,seam tape,item,supplier/ ref number,content,black,military,0
6,critically taped,none,sealon,none,critically taped,critically taped,none
7,lining,item,supplier/ ref number,content,black,military,0
8,body,solid quilted 210t,solis / ref number,none,black,black,none
9,"sleeves, hand pocket lining",solid 210t,solis / ref number,none,black,black,none
