,description,ref,location,amount,colorway/4,colorway/5,colorway/6
1, #5 metal zipper,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black
2, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black
3, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets horizontal,2,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black,silder/pull color: x antique copper/ zipper tape color: black
4,additional zipper pulls,supplier/ reference number,location,amount,black,walnut,dark slate
5,"l1-2018-trim-017
l1 zipper pull",ykk,center front,top and bottom pull = 2,ykk x antique copper,ykk x antique copper,ykk x antique copper
6, 11nt-045 / self fabric pull ,factory made,chest pocket vertical,1,match to shell,match to shell,match to shell
7, 11nt-045 / self fabric pull ,factory made,hand pockets horizontal,1 per side = 2,match to shell,match to shell,match to shell
8,branded trims,supplier/ reference number,location,amount,black,walnut,dark slate
9,"l1-2018-trim-006
large brown faux leather hem wrap",please source,front left hand pocket,1,brown faux leather,brown faux leather,brown faux leather
10,"l1-2018-trim-001
woven label:",please source,front right hand pocket bag,1,woven label,woven label,woven label
11,"l1-2018-trim-024
l1 embroidery small
3cm x 2.77cm  ",please source,left sleeve hem,1,match to shell,match to shell,match to shell
12,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,back right,1,match to shell,match to shell,match to shell
13,trims,supplier/ reference number,location,amount,black,walnut,dark slate
14,notions,supplier/ reference number,location,amount,black,walnut,dark slate
15,"grosgrain: 3/4"" wide  (fold in 1/2, 5/8"" finished tab length)",soluna,pull tab on velcro lining pocket ,1,black,black,black
16,velcro,supplier/ reference number,location,amount,black,walnut,dark slate
17,"1/2"" x 5 1/2"" (1/2"" shorter that pocket length velcro with rounded corners",paiho / hooketn7 / loop#1057,lining pocket,1,black,black,black
18,thread,spi,supplier/ ref number,amount,black,walnut,dark slate
19,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell
20,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell,match to shell
21,bartacks,none,100/2,none,match to shell,match to shell,match to shell
22,labels ,supplier/ reference number,location,amount,black,walnut,dark slate
23,5k/5k critically taped,soluna/ main label,center back below neck seam,1,5k/5k critically taped,5k/5k critically taped,5k/5k critically taped
24,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl"
25,hang tags,supplier/ reference number,location,amount,black,walnut,dark slate
26,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag
27,care and content labels,supplier/ reference number,location,amount,black,walnut,dark slate
28,address label,factory sourced,lining left side seam,1,address label,address label,address label
29,content label,factory sourced,lining left side seam,1,content label,content label,content label
30,washing label,factory sourced,lining left side seam,1,washing label,washing label,washing label
