,description,ref,location,content,colorway/4,colorway/5
1,broken twill,"solis/ sotw182-d
flannel / brush, c6+ dwr",a,100% polyester,silt / gunmetal,walnut / ink
2,insulation,supplier/ reference number,location ,content,silt / gunmetal,walnut / ink
3,polyfill insulation ,pinneco mantle 40g,all over,100% polyester,pinneco mantle 40g,pinneco mantle 40g
4,seam tape,supplier/ reference number,location ,content,silt / gunmetal,walnut / ink
5,no seam tape,none,none,none,none,none
6,lining,supplier/ reference number,location ,content,silt / gunmetal,walnut / ink
7,solid quilted satin,solis/ pr258,main body,100% polyester,ink 19-4010 tcx   ,ink 19-4010 tcx   
8,solid satin,solis/ pr258,pocket bags,100% nylon,ink 19-4010 tcx   ,ink 19-4010 tcx   
9,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black
