,label,material/trim,description,location,qty,black wax,camel wax,soviet grey wax,willow,dirks critterflage
10,a,shell fabric,sotp069-q03-ah 100% polyester tpu with wax coating (supplied by solis),"main body, sleeves. hood",none,black wax,camel wax,soviet grey wax,,
11,b,shell fabric,sotp069-2l32-ae 100% polyester 80/20dwr tpu membrane (supplied by solis),"main body, sleeves. hood",none,,,,willow,
12,c,shell fabric,sotp069-pr03-ae 100% polyester 80/20dwr tpu membrane (supplied by solis),"main body, sleeves. hood",none,,,,,dirks critterflage
13,d,lining,emb07 taffeta emboss (supplied by ecoya),"inside lining, pocket bag",none,black,black,black,black,old gold
14,e,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,white
16,aa,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",cf,1,black,camel 858,grey 014,willow 509,green 567
17,bb,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),cf,1,black,black,black,black,old gold
19,cc,stoppers,barrel stopper k-018,2) hood,2,black,old gold,black,black,old gold
20,dd,hardware,"metal eyelets, 12mm (incl. washers)",(2) at hood opening,2,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-08 dull dark pewter,bi-17 mid dark anti brass
21,ee,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6)c.f., (2) cuffs, (2) pockets",10,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-08 dull dark pewter,bi-17 mid dark anti brass
22,ff,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,black,old gold,black,black,old gold
23,gg,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black,cream/black
24,hh,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream,black/cream
25,ii,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black
26,jj,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream,black/cream
27,kk,branding,abpa_82 leather terry patch,"left back side seam, see placement page for detail",1,black/white,black/white,black/white,black/white,black/white
29,ll,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
30,mm,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
31,nn,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,clear
32,oo,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd
33,pp,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd
