,0,1,2,3,4,5,6,7,8
0,airblaster,none,none,none,none,style number: ab19mj2_081,none,none,none
1,none,none,none,none,none,designer:   jg,none,none,none
2,none,none,none,none,none,season: winter 2018/19,none,none,none
3,none,none,insulation:,"60gm insulation at body sleeve,hood",none,collection: freedom,none,none,none
4,style name:,none,seams:,critically taped,none,vendor: ,none,none,none
5,freedom workhorse jacket,none,mm rating:,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none
8,none,updated: 2.22.17,none,none,none,color #1,color #2,color #3,color #4
9,none,material/trim,description,location,qty,tbd,tbd,tbd,tbd
10,none,none,none,none,fabrics & linings,none,none,none,none
11,a,shell fabric,sotd109-c1-y 100% polyester 10k/8k 10k/8k +2-layer +breathable coating+dwr (supplied by solis),"main body, sleeves, collar, pockets",none,tbd,tbd,tbd,tbd
12,b,shell fabric,sotp069-c1-h 100% polyester 10k/8k 15k/10k+2-layer +breathable coating+dwr (supplied by solis),hood,none,tbd,tbd,tbd,tbd
13,c,lining,210t-e emb07 terry emboss taffeta (supplied by ecoya),"inside lining, powder skirt, pocket bag",none,tbd,tbd,tbd,tbd
14,d,other , velvety tricot - soto048-1 (supplied by solis),"comfort chin guard, inner front pocket bag panel",none,tbd,tbd,tbd,tbd
15,e,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,tbd,tbd,tbd,tbd
16,f,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gators",none,tbd,tbd,tbd,tbd
17,g,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black
18,h,other,gripper elastic,powder skirt,none,black,black,black,black
19,i,other,60gm insulation,"main body hood, sleeves",none,none,none,none,none
20,j,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white
21,k,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white
22,k,none,none,none,none,none,none,none,none
23,l,none,none,none,zippers,none,none,none,none
24,aa,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",c.f.,1,tbd,tbd,tbd,tbd
25,bb,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,tbd,tbd,tbd,tbd
26,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,tbd,tbd,tbd,tbd
27,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",1 internal pocket at w.'s inside left,1,tbd,tbd,tbd,tbd
28,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. (2) vents,  (1) inside pocket",6,tbd,tbd,tbd,tbd
30,none,none,none,none,trims,none,none,none,none
31,ff,stoppers,round barrel stopper - k-018 ,(2) hood,2,tbd,tbd,tbd,tbd
32,gg,stoppers,k343-2n push stoppers,(2) bottom hem,2,tbd,tbd,tbd,tbd
33,hh,hand pulls,plastic hand pulls zp11 , (2) bottom hem,2,tbd,tbd,tbd,tbd
34,ii,webbing,"flat webbing tape, 8mm", key clip attachment at inside wearer's right pocket,1,black,black,black,black
35,jj,webbing,flat webbing tape 8mm width, (2)stopper attachments loops at bottom hem,2,tbd,tbd,tbd,tbd
36,kk,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (4) inside bottom hem",8,tbd,tbd,tbd,tbd
37,ll,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (5) c.f., (2) cuffs, (1) snap tabs at inside bottom hem,  (2) at powder skirt",10,tbd,tbd,tbd,tbd
38,mm,hardware,male snap only (incl. washers),(2) powder skirt (2) cuffs,4,tbd,tbd,tbd,tbd
39,nn, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,tbd,tbd,tbd,tbd
40,oo,elastic drawcord, 2.5 mm elastic cord,bottom hem adjustment,1,tbd,tbd,tbd,tbd
41,pp,key clip,plastic key clip attched with webbing loop,inside wearers right pocket.,1,black,black,black,black
42,qq,main label,tbd,"inside c.b. neck, see q/a for placement",1,tbd,tbd,tbd,tbd
43,rr,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd
44,ss,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
45,tt,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,tbd,tbd,tbd,tbd
46,vv,branding,abpa_22 workwear label,"left chest, see art placement page for detail",1,tbd,tbd,tbd,tbd
48,none,none,none,none,hangtags/packaging,none,none,none,none
49,ww,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
50,xx,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
51,yy,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
52,zz,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
53,aaa,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
55,special instructions:,none,none,none,none,none,none,none,none
56,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none
57,2,stitches per inch:,8-10,none,none,none,none,none,none
58,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none
59,4,bartack:,at stress points,none,none,none,none,none,none
