,0,1,2,3,4,5,6,7,8
0,airblaster,none,none,none,none,style number: ab19mj1_084,none,none,none
1,none,none,none,none,none,designer:   jg,none,none,none
2,none,none,none,none,none,season: winter 2018/19,none,none,none
3,none,none,insulation:,"60gm at main body, hood and sleeves",none,collection: freedom,none,none,none
4,style name:,none,seams:,"critically sealed at armholes, neckhole, and hood seams",none,vendor: ,none,none,none
5,modern athlete parka,none,mm rating:,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none
8,none,updated:  4.7.17,none,none,none,color #1,color #2,color #3,color #4
9,none,material/trim,description,location,qty,tbd,tbd,tbd,tbd
10,none,none,none,none,fabrics & linings,none,none,none,none
11,a,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),"upper front and back main body, hood, upper storm flap, sleeves",none,tbd,tbd,tbd,tbd
12,b,shell fabric,sota074-2l1-y 100% polyester 10k/8k +2-layer + breathable coating + dwr (supplied by solis),"lower front and back main body, lower storm flap",none,tbd,tbd,tbd,tbd
13,c,lining,210t-e emb07 terry taffeta emboss (supplied by ecoya),"powder skirt, pocket bag, hood lining, sleeve lining, fornt and back body below powder skirt only",none,tbd,tbd,tbd,tbd
14,d,other , velvety tricot - soto048-1 (supplied by solis),"inside lining, comfort chin guard, inner front pocket bag panel, front and back body panel above powder skirt only",none,tbd,tbd,tbd,tbd
15,e,other,100% poly mesh - sotc025-1 (supplied by solis),"vents, internal goggle pocket",none,tbd,tbd,tbd,tbd
16,f,other,nylon/elastic lycra - sono029-1 (supplied by solis),"powder skirt, wrist gaiters",none,tbd,tbd,tbd,tbd
17,g,other,lycra binding tape,internal mesh pocket opening,none,black,black,black,black
18,h,other,60gm insulation,"main body, hood and sleeves",none,white,white,white,white
19,i,other,gripper elastic,powder skirt,none,black,black,black,black
20,j,pellon,lightweight interfacing (item# tbd),"inner storm flap, powder skirt closure flaps",none,white,white,white,white
21,k,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white
22,l,none,none,none,none,none,none,none,none
23,m,none,none,none,zippers,none,none,none,none
24,aa,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",cf,1,tbd,tbd,tbd,tbd
25,bb,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),( 2) hand pockets,2,tbd,tbd,tbd,tbd
26,cc,zipper,"ykk  no.5 nylon coil zippers,1-way hidden chain.  auto-lock slider da8lh1 (zippers close down)", vents,2,tbd,tbd,tbd,tbd
27,dd,zipper,"ykk  no.5 nylon coil zippers hidden chain ,auto-lock slider da8lh1 (zipper closes up)",(1) napolean pocket,1,tbd,tbd,tbd,tbd
