,brand,style,item,trims,fabric,description,ref,supplier,position,spec,qty,price,total,terms,colorway-1,colorway-2,colorway-3,colorway-4
32,head,821126 _sestriere mens jacket,trims,1,0,cord end very tiny drop shape,pl end stopper dgst-beh080,dong gwang sa industry,left and right side seams,none,2,none,none,none,black,black,none,none
33,head,821126 _sestriere mens jacket,trims,1,0,eyelet 8mm,eyelet 8mm,dong gwang sa industry,left and right side seams,none,4,none,none,none,"gloss silver
local color","gloss silver
local color",none,none
34,head,821126 _sestriere mens jacket,trims,1,0,"draw cord 2,5mm",elastic nylon string,dg.in dal,bottom hem adjustment,none,none,none,none,none,black,black,none,none
35,head,821126 _sestriere mens jacket,trims,1,0,ribs tape for  phone card holder,gol tape 10m/m,dg.in dal,inside  on neck position ,none,none,none,none,none,black,black,none,none
36,head,821126 _sestriere mens jacket,stitching,1,0,bartacks,vertical bartacks,kido,all all zipper starting and ending points ,none,none,none,none,none,silver 14-5002 tcx,silver 14-5002 tcx,none,none
37,head,821126 _sestriere mens jacket,packaging,1,0,polybag with head print,none,vietnam.nhat loi,size matching garment - follow packing instruction,none,1,none,none,none, -- , -- ,none,none
38,head,821126 _sestriere mens jacket,packaging,1,0,barcode sticker,none,vn.cosmo,attach on polybag - follow packing instruction,none,1,none,none,none, -- , -- ,none,none
39,head,821126 _sestriere mens jacket,packaging,1,0,barcode sticker,none,vn.cosmo,attach on carton- follow packing instruction,none,1,none,none,none, -- , -- ,none,none
40,head,821126 _sestriere mens jacket,packaging,1,0,"plastic hanger "" head""","h-pa 005 
(ell45cs with bar )",mainetti hk,none,none,1,none,none,none,semi clear,semi clear,none,none
41,head,821126 _sestriere mens jacket,hang tags,1,0,main hang-tag head 360,h-pa 008,avery dennsion,attach hang-tag on left front pocket,none,1,none,none,none, -- , -- ,none,none
42,head,821126 _sestriere mens jacket,hang tags,1,0,head  360  tag inlay ,h-pa 009,avery dennsion,inlay inside main hang-tag,none,1,none,none,none, -- , -- ,none,none
43,head,821126 _sestriere mens jacket,hang tags,1,0,cord for hang tag,he htco-001,dg.me qi,to attach hang-tag,none,1,none,none,none, -- , -- ,none,none
