,brand,style,description,ref,position,spec,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,qty,inner,outer,fabric,trims
20,Nitro,N18-101-GLADES,powder skirt gripper elastic ,"nitro embossed 
petersham tape 
(e1342816 20mm)
chun wo ho",powder skirt gripper elastic ,,color,,,,,1,0,1,0,1
21,Nitro,N18-101-GLADES,goggle pocket binding,chun wo ho,goggle pocket opening,,color,,,,,1,0,1,0,1
22,Nitro,N18-101-GLADES,joey cord keep 3mm,woojin/ w863,lining center front chest,,black,,,,,1,0,1,0,1
23,Nitro,N18-101-GLADES,15mm metal snap,luk's / 404,hidden at hem,,metal color,,,,,1 set,0,1,0,1
24,Nitro,N18-101-GLADES,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,,metal color,,,,,1 male 1 female,0,1,0,1
25,Nitro,N18-101-GLADES,15mm metal snap,luk's / 404,powder skirt - front closure,,metal color,,,,,"1 female, 2 male",0,1,0,1
26,Nitro,N18-101-GLADES,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection on tabs,,metal color,,,,,3 sets,0,1,0,1
27,Nitro,N18-101-GLADES,8mm metal eyelet,luk's / et04,front hood adjust,,metal color,,,,,2 per side = 4,0,1,0,1
28,Nitro,N18-101-GLADES,8mm metal eyelet,luk's / et04,hem adjust ,,metal color,,,,,2 per side = 4,0,1,0,1
29,Nitro,N18-101-GLADES,metal eyelets 11mm ,luk's / et89,back hood adjust,,metal color,,,,,1,0,1,0,1
30,Nitro,N18-101-GLADES,"grosgrain 1/4""",xxx,attach front hood cord lock,,color,,,,,1 per side = 2,0,1,0,1
31,Nitro,N18-101-GLADES,"grosgrain 3/8""",xxx,attach hem cord lock,,color,,,,,1 per side = 2,0,1,0,1
32,Nitro,N18-101-GLADES,"grosgrain 3/8""",xxx,attach back hood cord lock,,color,,,,,1,0,1,0,1
33,Nitro,N18-101-GLADES,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,,color,,,,,1,0,1,0,1
34,Nitro,N18-101-GLADES,"grosgrain 3/4"" x 1"" ",xxx,powder skirt jacket to pant connection tabs behind snaps,,color,,,,,1,0,1,0,1
