,position,ref num,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
8,#5 aquaguard coil zipper with matte transparent film (5cnt10),ykk / dalh/dag 2-way semi auto locking,center front,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
9,#5 coil zipper,non ykk / dfw short 1-way non locking,chest pocket horizontal,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
10,#5 coil zipper,non ykk / dfw short 1-way non locking,hand pockets vertical,1 per side = 2,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
11,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
12,nitro custom pull / n14-trim-139,knk / 3738,center front,1,color,none,none,none,none,none
13,nitro custom pull / n14-trim-139,knk / 3738,chest pocket,1,color,none,none,none,none,none
14,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,1 per side = 2,color,none,none,none,none,none
15,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
16,"nitro trim number: n18-trim-009
nitro speech bubble 
heat transfer 3cm x 3cm",sealon,"left sleeve hem, 3"" up from cuff, centered over sleeve fold",1,color,none,none,none,none,none
17,"nitro trim number: n18-trim-010
nitro text
reflective heat transfer",sealon,"back right: 4 1/2” to the right 
of cb, inline with 
underarm.",1,color,none,none,none,none,none
18,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
19,8mm metal eyelet,luk's / et04,hood adjust,2 per side = 4,color,none,none,none,none,none
22,8mm metal eyelet,luk's / et04,hem adjust (right side),2,color,none,none,none,none,none
26,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
32,bonding film,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
35,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
36,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,none,none,none,none,none
37,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,none,none,none,none,none
38,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
42,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
44,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
46,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
