,position,ref num,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none
12,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
14,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
16,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
17,solid 210t,solis / sonp006-1,pocket bags?,100% nylon,color,none,none,none,none,none
