,position,ref num,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none
10,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
12,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
14,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
15,solid 210t ,solis / sonp006-1,hood,100% nylon,color,none,none,none,none,none
16,solid 210t ,solis / sonp006-1,main body,100% nylon,color,none,none,none,none,none
17,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,none,none,none,none,none
18,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,none,none,none,none,none
19,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,color,none,none,none,none,none
20,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,color,none,none,none,none,none
21,brushed tricot,supplier / ref code,chin guard,100% polyester,color,none,none,none,none,none
22,brushed tech mesh,supplier / ref code,neck facing,100% polyester,color,none,none,none,none,none
23,regular mesh,supplier / ref code,underarm vents,100% polyester,color,none,none,none,none,none
24,regular mesh ,supplier / ref code,goggle pocket,100% polyester,color,none,none,none,none,none
25,lycra,supplier / ref code,sleeve gaiters,content,color,none,none,none,none,none
