,position,item,ref num,content,soil / black,black / oxblood,none,none,none,none
11,insulation,item,supplier/ ref number,content,soil / black,black / oxblood,0,0,0,0
14,seam tape,item,supplier/ ref number,content,soil / black,black / oxblood,0,0,0,0
16,lining,item,supplier/ ref number,content,soil / black,black / oxblood,0,0,0,0
18,sleeves & hand pocket bags,solid 210t,solis / ref number,none,black,black,none,none,none,none
