,position,item,ref num,content,black,military,none,none,none,none
11,cuff ribbing,1 x 1 polyester  ribbing ,none,none,black,black,black on both colorways,none,none,none
12,insulation,item,supplier/ ref number,content,black,military,0,0,0,0
14,seam tape,item,supplier/ ref number,content,black,military,0,0,0,0
16,lining,item,supplier/ ref number,content,black,military,0,0,0,0
17,body,solid quilted 210t,solis / ref number,none,black,black,none,none,none,none
18,"sleeves, hand pocket lining",solid 210t,solis / ref number,none,black,black,none,none,none,none
