,position,ref num,location,amount,silt,walnut,black,0,0,0
8, #5 reverse coil matte water resistant,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,slider/pull color: x6 black oxides zipper tape color: matte black,slider/pull color: x6 black oxides zipper tape color: matte black,slider/pull color: x6 black oxides zipper tape color: matte black,none,none,none
9, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,slider/pull color: x6 black oxides zipper teeth/ tape color: black,slider/pull color: x6 black oxides zipper teeth/ tape color: black,slider/pull color: x6 black oxides zipper teeth/ tape color: black,none,none,none
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,slider/pull color: x6 black oxides zipper teeth/ tape color: black,slider/pull color: x6 black oxides zipper teeth/ tape color: black,slider/pull color: x6 black oxides zipper teeth/ tape color: black,none,none,none
11,additional zipper pulls,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
12,"l1-2018-trim-017
l1 zipper pull",ykk,non insulated,top and bottom pull = 2,x6 black oxides ,x6 black oxides ,x6 black oxides ,none,none,none
13,l1-2018-trim-018 / non branded zipper pull faux leather ,please source: same supplier as other faux leather trims,hand pockets,2,black faux leather,black faux leather,black faux leather,none,none,none
14, 11nt-045 / self fabric pull ,factory made,under arm vents,1 per side = 2,match to shell,match to shell,match to shell,none,none,none
15,branded trims,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
16,"l1-2018-trim-016
silicon chest print",soluna,front left chest,1,pantone 16-5807 tcx silt tonal silicon ,pantone 18-0513 tcx walnut  tonal silicon ,pantone 19-4006 tcx black tonal silicon ,none,none,none
17,"l1-2018-trim-012
heat transfer label ",please source: same supplier as other faux leather trims,front right hem,1,black/gold,black/gold,black/gold,none,none,none
18,"l1-2018-trim-014
l1 sleeve injection mold logo.
2mm embossed effect. 2.62 cm x 2.6 cm",soluna,front left sleeve hem,1,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,none,none,none
19,"l1-2018-trim-015
l1 shoulder injection mold logo.
2mm embossed effect. 3.3 cm x 3.3 cm",soluna,back right,1,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,none,none,none
20,trims,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
