,position,item,ref num,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
8,fly ,#5 coil ,ykk dalh // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
9,hand pockets,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
10,back right pocket,#5 coil ,non ykk dadr4 l-type drop// 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
11,"""balls out"" venting",#5 coil,"non ykk dadhr diecast wire // 2 sliders on closed ends tape, zip down each side to close (locking)",1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
12,hem,#5 coil,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
13,zipper pulls,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
14,hand pockets, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
15,"""balls out"" venting", self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
16,l1 branded trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
17,"bib chest pocket, right leg pocket",l1 17mm metal snap ,supplier / l1-2016-trim-003,2,matte black,none,none,none,none,none
18,"shoulders, side entry",17mm donut post shank,l1-2016-trim-005,6,matte black,none,none,none,none,none
19,"chest, hand & back pocket edges",10mm denim rivet ,14-l1sp-089,8,matte black,none,none,none,none,none
20,back right waist band,"l1  patch 
with deboss 2",l1-2017-trim-104,1,black,none,none,none,none,none
21,front left hem,l1 embroidery large,factory sorced // l1-2016-trim-027,1,dtm shell,none,none,none,none,none
22,snaps,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
24,other trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
25,strap adjusts,metal strap adjust ,please sorce as sample / ref number,1 per side = 2 sets,matte black,none,none,none,none,none
26,right hand pocket,key clip,j&k // hk-001,1,black,none,none,none,none,none
27,front of leg gaiter,metal boot hook,supplier / ref number,1 per side = 2,black,none,none,none,none,none
28,webbing & elastic,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
32,velcro,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
37,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
38,seams,8-10 spi,# 604 tseu,regular thread,matching,none,none,none,none,none
39,heavy weight topstitch,8-10 spi,#606 tseu,heavy weight topstitch thread,matching,none,none,none,none,none
41,l1 marketing,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
42,front left belt loop,l1 pant hang tag,supplier // ,1,l1 pant hang tag,none,none,none,none,none
43,front left belt loop behind pant hang tag,l1 pant fit hang tag ,supplier // regular fit,1,l1 pant fit hang tag  // regular fit,none,none,none,none,none
44,center back waist band facing,l1 pant size label,l1 pant size label,1,l1 pant size label,none,none,none,none,none
45,lining front right,l1 main label,regular fit // 10k/10k // critically taped ,1,regular fit // 10k/10k // critically taped ,none,none,none,none,none
46,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
47,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
48,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
49,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
