,position,ref num,location,amount,military,bone,ink,black,0,0
8, #5 vislon zipper,ykk / 1-way semi auto locking with 1 l1 custom pull,center front,1,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none,none
9, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,underarm vents,1 per side = 2,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,silder/ pull color: match color to ykk rl bright copper/ zipper tape and teeth color: black,none,none
10, #5 metal zipper  (special herringbone tape),non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 12-0105 tcx bone,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4010 tcx ink,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4006 tcx black,none,none
11,additional zipper pulls,supplier/ reference number,location,amount,military,bone,ink,black,0,0
12,"""l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm ",ykk,center front,1,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,none,none
13,11nt-045 / self fabric pull,factory made,underarm vents,1 per side = 2,military shell fabric,bone shell fabric,ink shell fabric,black shell fabric,none,none
14,11nt-045 / self fabric pull,factory made,hand pockets vertical,1 per side = 2,military shell fabric,bone shell fabric,ink shell fabric,black shell fabric,none,none
15,branded trims,supplier/ reference number,location,amount,military,bone,ink,black,0,0
16,"l1-2018-trim-009
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm",luks,"center front placket,  hand pocket flaps",7,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,ykk cp016 bright copper,none,none
17,"l1-2018-trim-028/ 
l1 wmns - freedom patch
brown faux leather",please source,left shoulder,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
