51," 1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,chin,1,match to shell,match to shell,match to shell,match to shell,none,none
52," 1/2"" x 3 velcro with rounded corners",paiho / loop#1057 / hooketn7,center front placket,4,match to shell,match to shell,match to shell,match to shell,none,none
53,"1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,left chest pocket flaps,2,match to shell,match to shell,match to shell,match to shell,none,none
54,"1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,right pocket flaps,1,match to shell,match to shell,match to shell,match to shell,none,none
55,"1/2"" x 2"" velcro with rounded corners",paiho / loop#1057 / hooketn7,hand pocket flaps,2,match to shell,match to shell,match to shell,match to shell,none,none
56,"1"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
57,"1"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
58,thread,spi,supplier/ ref number,amount,ink,military,rust,black,0,0
59,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,none,none
60,topstitch,8-10 spi,30/2,none,match to shell,match to shell,match to shell,match to shell,none,none
61,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell,none,none
62,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell,match to shell,none,none
63,labels ,supplier/ reference number,location,amount,ink,military,rust,black,0,0
64,15k/15k fully taped,soluna/ main label,center back below neck seam,1,15k/15k fully taped,none,none,none,none,none
65,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl",none,none,none,none,none
66,hang tags,supplier/ reference number,location,amount,ink,military,rust,black,0,0
67,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none,none,none
68,care and content labels,supplier/ reference number,location,amount,ink,military,rust,black,0,0
69,address label,factory sourced,lining left side seam,1,address label,none,none,none,none,none
70,content label,factory sourced,lining left side seam,1,content label,none,none,none,none,none
71,washing label,factory sourced,lining left side seam,1,washing label,none,none,none,none,none
