,position,item,ref num,content,dark slate,raven,none,none,none,none
10,body,"cotton touch nylon 5k 5k coating + c6 w/r, $3.95 5k/5k",solis/ sonp020-cc01-m,100% nylon,dark slate,raven,none,none,none,none
12,insulation,item,supplier/ ref number,content,dark slate,raven,0,0,0,0
14,seam tape,item,supplier/ ref number,content,dark slate,raven,0,0,0,0
16,lining,item,supplier/ ref number,content,dark slate,raven,0,0,0,0
17,body,solid quilted satin,solis / ref number,none,pearl,pearl,none,none,none,none
18,"sleeves, hand pocket lining",solid satin,solis / ref number,none,pearl,pearl,none,none,none,none
