,position,item,ref num,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
9,all shell is same fabric, oxford ,solis l2-581,100% polyestr,black,none,none,none,none,none
10,insulation,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
11,knees & seat,40 g polyfill,"""cs"" type",100% polyestr,40 g knees & seat,none,none,none,none,none
12,seam tape,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
14,lining,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
15,main body & back pocket lining,solid 210t,please sorce,100% nylon,black,none,none,none,none,none
16,lower leg & gaiter,coated 210t,please sorce,100% nylon,black,none,none,none,none,none
17,waistband & fly,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
18,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
19,"""balls out"" venting",a 101 mesh,please sorce,100% poly,black,none,none,none,none,none
