,position,item,ref num,amount,black,military,0,0,0,0
8,center front,#5 metal, za snap-on type (ykk),1-way (locking),psudo anti silver slider and teeth / black tape,psudo anti silver slider and teeth / black tape,none,none,none,none
9,left arm pocket,#5 metal,dadhr diecast wire (non ykk),1-way (locking),psudo anti silver slider and teeth / black tape,psudo anti silver slider and teeth / black tape,none,none,none,none
10,zipper pulls,item,supplier/ ref number,amount,black,military,0,0,0,0
11,cf,l1-2016-trim-009,top pull only,1,psudo anti silver,psudo anti silver,none,none,none,none
12,l1 branded trims,item,supplier/ ref number,amount,black,military,0,0,0,0
13,front left sleeve hem,l1 embroidery small,soluna / l1-2016-026,1,dtm,dtm,none,none,none,none
14,back right ,l1 embroidery large,soluna / l1-2016-027,1,dtm,dtm,none,none,none,none
15,hand pocket flaps,l1 metal snap,luks / l1-2016-trim-001,2,psudo anti silver,psudo anti silver,none,none,none,none
16,hem,item,supplier/ ref number,amount,black,military,0,0,0,0
17,hem drawcord,round drwacord with clear plastic tip,none,1,black,military,none,none,none,none
18,hem grommets,metal grommet,none,1 per side = 2,enamel dull black,enamel dull black,none,none,none,none
19,velcro,item,supplier/ ref number,amount,black,military,0,0,0,0
20,inner pocket closure,"1/2"" x 6""",none,1,black,military,none,none,none,none
21,thread,spi,ref number,amount,black,military,0,0,0,0
25,marketing,description,ref number,amount,black,military,0,0,0,0
26,lining cb locker loop,l1 hang tag,l1 hang tag,1,l1 hang tag,none,none,none,none,none
27,lining cb facing,wp/ breathability // rn ca / made in china,5k/5k // critically taped ,1,5k/5k // critically taped ,none,none,none,none,none
28,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
29,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
30,lining left side seam,washing label,sew as loop,1,washing label,none,none,none,none,none
31,lining locket loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
