,position,item,ref num,content,colorway 1 ,colorway 2,colorway 3,none,none,none
11,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
13,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
15,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
